date, Linc,  L2025,  L2030,  L2035,  L2040,  L2045,  L2050,  L2055,  L2060,  L2065,  G,  F,  C,  S,  I
2020-08-12, 21.557700, 10.423100, 35.670600, 10.558500, 39.375200, 10.651400, 23.042100, 10.834100, 10.834200, 10.834400, 16.460300, 21.126600, 49.993000, 58.247500, 31.284200
2020-08-11, 21.485000, 10.343100, 35.342100, 10.452000, 38.943700, 10.526800, 22.755200, 10.670400, 10.670500, 10.670700, 16.460000, 21.145300, 49.296200, 57.623300, 30.686000
2020-08-10, 21.500000, 10.356400, 35.395900, 10.469500, 39.013600, 10.547000, 22.801000, 10.691900, 10.692100, 10.692300, 16.459800, 21.240000, 49.692400, 58.038900, 30.421700
2020-08-07, 21.488500, 10.344200, 35.346300, 10.453500, 38.949000, 10.528500, 22.758300, 10.667300, 10.667400, 10.667600, 16.458900, 21.251300, 49.555000, 57.985900, 30.349300
2020-08-06, 21.491300, 10.346800, 35.356500, 10.456800, 38.961900, 10.532100, 22.766400, 10.671100, 10.671200, 10.671400, 16.458700, 21.267200, 49.513700, 57.781700, 30.466200
2020-08-05, 21.486200, 10.342600, 35.340400, 10.451800, 38.942800, 10.527000, 22.755500, 10.666100, 10.666200, 10.666400, 16.458400, 21.243900, 49.191600, 57.909100, 30.674400
2020-08-04, 21.445100, 10.297000, 35.152800, 10.390900, 38.695100, 10.455100, 22.589500, 10.571300, 10.571400, 10.571600, 16.458200, 21.261700, 48.878200, 57.153200, 30.344600
2020-08-03, 21.415500, 10.266900, 35.029800, 10.351000, 38.534200, 10.408600, 22.482900, 10.513400, 10.513500, 10.513700, 16.457900, 21.209600, 48.701700, 56.899800, 30.081900
2020-07-31, 21.371200, 10.218500, 34.830800, 10.286400, 38.271700, 10.332400, 22.307100, 10.413100, 10.413200, 10.413400, 16.456900, 21.228500, 48.353100, 56.010800, 29.768700
2020-07-30, 21.377600, 10.226500, 34.865200, 10.297900, 38.319900, 10.347100, 22.341700, 10.433300, 10.433400, 10.433600, 16.456600, 21.219200, 47.981300, 56.342600, 30.187200
2020-07-29, 21.408100, 10.261300, 35.007800, 10.344100, 38.507000, 10.401000, 22.465900, 10.505400, 10.505500, 10.505700, 16.456300, 21.179200, 48.152200, 56.447800, 30.620000
2020-07-28, 21.366500, 10.215900, 34.821100, 10.283400, 38.260400, 10.329400, 22.300700, 10.411800, 10.411900, 10.412100, 16.456000, 21.178600, 47.560800, 55.278800, 30.652600
